0,1,2,3,4,5,6,7,8,9,10,11,12,Target
-0.3778889732412648,-0.38035387788029656,-0.40271024051066406,-0.42327200886147875,-0.42160612660503893,-0.4400303181315337,-0.44079981789631345,-0.4777696915687454,-0.4858206836123179,-0.49675889760863884,-0.5138515115193241,-0.5300749769176499,-0.5461057611784457,Alerta_4
-0.35536205544992444,-0.3545448062973162,-0.3711257403785562,-0.38594764705955115,-0.381440989067682,-0.3942534223254146,-0.3918311474105951,-0.42034344720235167,-0.424076347332498,-0.4302467674394499,-0.4416182101286173,-0.4522317153509197,-0.4626759452581735,Alerta_3
-0.4029008057378808,-0.40501467601782404,-0.42812815677958826,-0.44930974418024183,-0.44704138028794893,-0.46593575927147307,-0.46622731217394037,-0.5046014095584906,-0.5125377367648151,-0.5235050282247916,-0.5409351657004825,-0.5574475174884085,-0.5737560199479688,Alerta_4
-0.1725612551009317,-0.1712201927514632,-0.17790465091054175,-0.18373749396536754,-0.1806957351597436,-0.1855803244052116,-0.18349539685108415,-0.19550181145098153,-0.19621169942736857,-0.19802659126600577,-0.20219801358057352,-0.20602200481526775,-0.2097685041429633,Alerta_2
-0.09338659797262416,-0.09257068839920725,-0.09605584517431955,-0.09908143199656058,-0.09735502001322267,-0.09987115961578108,-0.0986573570043417,-0.10498035259728908,-0.10526092638720136,-0.10613212677621667,-0.10826270667559057,-0.11020734009169339,-0.11211052534430256,Alerta_2
-0.04104561746420661,-0.04043603483936159,-0.04159174456612341,-0.04255247223438818,-0.04157325023890502,-0.04232358010179232,-0.04155461647280904,-0.043846886940017454,-0.043684824271753624,-0.04376191770698799,-0.04434846260671231,-0.04485937077125634,-0.045353519116367876,Alerta_1
-0.2848278418929659,-0.28295492599138555,-0.2944856863618462,-0.3046072041410182,-0.29989126078222494,-0.3084348797592923,-0.30531795314675414,-0.32579620504615453,-0.327361270827702,-0.3307782529280023,-0.3381452989338215,-0.34493116822764003,-0.35158732998340336,Alerta_3
-0.45081581844261587,-0.4510122360995914,-0.4738075011191549,-0.4943861058123916,-0.48980644891369957,-0.5078198499709319,-0.5059604370492204,-0.5445608314362764,-0.5507729394879077,-0.5601832162619585,-0.5764173477253409,-0.5916649935239099,-0.6066925261147709,Alerta_4
-0.0317478491712289,-0.031399588137619325,-0.03247948333828192,-0.03340459418613479,-0.03275498383718656,-0.03351024387605711,-0.033030773086956844,-0.03504313093763197,-0.03505754550217532,-0.035266975734728784,-0.035892076368023856,-0.03645563496171376,-0.037005500508816284,Alerta_1
-0.2954698529820019,-0.294184719651798,-0.30709998682699374,-0.31855057185606944,-0.31425159820144516,-0.32404503355538755,-0.3214431332746706,-0.34396591551812383,-0.3463555989886227,-0.35072098589230283,-0.35930149555121627,-0.3672646414577485,-0.3750899106645609,Alerta_3
-0.1447127007131618,-0.14344672056618213,-0.14884493812469904,-0.15353102874561392,-0.1508543087067612,-0.1547510261287457,-0.15286855530788865,-0.16266355098033292,-0.16309645041583895,-0.1644444561264708,-0.1677437183147435,-0.17075487422297822,-0.17370181067746732,Alerta_2
-0.10682203395937565,-0.10593950337884114,-0.11000066900469495,-0.11353536488402442,-0.11160572803540991,-0.11455553805202193,-0.11321519287391574,-0.12054617918560376,-0.12092539435079797,-0.12198435985787191,-0.12449285122134134,-0.1267874707254421,-0.12903440215756437,Alerta_2
-0.2577427650138596,-0.25632993361223566,-0.26717397463387893,-0.2767410064298526,-0.2727271275956016,-0.28085699445376305,-0.27830643767717533,-0.29738520522543377,-0.2991288967768511,-0.3025717251116743,-0.3096392255807476,-0.31617455085535096,-0.3225910558358762,Alerta_3
-0.10011661234106778,-0.0993258086322725,-0.10318532713090542,-0.106550920369394,-0.10477478242619989,-0.10759072506050268,-0.10636898570036027,-0.11331017064518593,-0.11370736002379528,-0.11474460578665009,-0.11714680904103031,-0.11934773127323117,-0.12150376268998957,Alerta_2
-0.30953826850592625,-0.3082939053112637,-0.3219712188176045,-0.3341141522026378,-0.32970300157561566,-0.3401072390960412,-0.33747996737007135,-0.3612740274616976,-0.3638970935250247,-0.36859846569465626,-0.37773397922984575,-0.38622053979888715,-0.3945621624744459,Alerta_3
-0.4294390805628081,-0.4292690726477968,-0.4504750030103534,-0.4695638715617834,-0.4648703208296046,-0.481518860827646,-0.47939420181363657,-0.5154583607641307,-0.5209455754032573,-0.5294483790813167,-0.5443856844489471,-0.5583903707886376,-0.5721868788451865,Alerta_4
-0.3895783074130708,-0.38734476670438944,-0.40359331012351013,-0.4179121200627451,-0.4117567858353414,-0.4239064010986098,-0.4199571768236975,-0.448604106360188,-0.451125593434389,-0.4562071971258527,-0.4667499971723759,-0.4764905768704862,-0.486052057062217,Alerta_3
-0.42185511483214594,-0.42468525952790637,-0.44975283104252667,-0.4728200383585579,-0.47103575219564586,-0.49171817817569025,-0.49265831935054516,-0.5340892035687709,-0.5431762914968817,-0.5554938078435597,-0.5746969493394231,-0.5929284899545983,-0.6109447017046169,Alerta_4
-0.38706259904140033,-0.3888345678795207,-0.41067508455987123,-0.4306512081958121,-0.42822561465842496,-0.4460014374735005,-0.4460171128758826,-0.48236033018151203,-0.4896612587283609,-0.4998504289253795,-0.516198991543072,-0.531670437372715,-0.5469468964273225,Alerta_4
-0.17681001508546995,-0.1753299074740785,-0.18202345659849462,-0.18784588695441076,-0.184634752938323,-0.1894898951513807,-0.1872530284498272,-0.19934965860590861,-0.19995508960621558,-0.20168404787811095,-0.20580881775388957,-0.20958003677353707,-0.2132724284291624,Alerta_2
-0.025944921562717178,-0.02569148298021843,-0.026620258248765332,-0.02742184204611525,-0.02691847836031091,-0.02757973017550414,-0.027217229702140914,-0.02892209769582761,-0.028969416596516535,-0.029178642001844085,-0.029733037723620133,-0.030236399065529777,-0.03072839349434481,Alerta_1
